name,url,done
Schronisko na Paluchu,https://napaluchu.waw.pl/,false
Fundacja Azylu pod Psim Aniołem,https://www.psianiol.org.pl/,false
Ochota na Kota,https://napaluchu.waw.pl/promocja/ochota-na-kota-2/,false
Tylko Przyjaciele Zwierząt,https://viva.org.pl/tylko-przyjaciele-zwierzat/,false
Schronisko w Celestynowie,https://celestyniaki.pl/,false
Schronisko w Korabiewicach,https://schronisko.info.pl/,false
Schronisko w Milanówku,https://schroniskomilanowek.pl/,false
Schronisko w Nowym Dworze Mazowieckim,https://www.fundacjapsom.pl/,false
Fundacja dla Szczeniąt Judyta,https://fundacjajudyta.com/,false
Schronisko w Płocku,https://www.schronisko.pgkplock.pl/,false
Stowarzyszenie Płock Przyjazny Psom,https://www.ratujemyzwierzaki.pl/wolontariatschroniskoplock,false
Stowarzyszenie Pomiechowskie Bezdomniaki,https://www.ratujemyzwierzaki.pl/spb,false
Schronisko Bąkówka,http://www.schroniskobakowka.pl/,false
Schronisko w Pawłowie,https://schronisko.pukciechanow.pl/,false
Schronisko w Radomiu,https://schronisko.radom.pl/,false
Schronisko w Żyrardowie,https://www.schronisko.zyrardow.pl/,false
Fundacja Zwierząt Skrzywdzonych Zielony Pies,https://www.ratujemyzwierzaki.pl/zielonypies,false
Stowarzyszenie Bezdomne Serduszka,https://www.ratujemyzwierzaki.pl/bezdomneserduszka,false
Fundacja Hakuna Matata,https://www.ratujemyzwierzaki.pl/hakunamatata,false
Fundacja Złap Dom,http://zlapdom.pl/,false
Fundacja Trop Warszawa,https://www.ratujemyzwierzaki.pl/tropwarszawa,false
Fundacja Opieki i Rozwoju Humanitares,https://humanitares.org/,false
Interwencyjne Centrum Pomocy Kotom,http://centruminterwencyjne.pl,false
Towarzystwo Pomocy Kotom ProFelis,https://tpkprofelis.pl/,false
Bezdomniaki,https://www.bezdomniakizabiowolskie.pl/,false
Schronisko dla Zwierząt w Poznaniu,https://schronisko.com/,false
Schronisko w Skałowie,https://schronisko-skalowo.pl/,false
Przytulisko u Wandy,https://przytuliskauwandy.pl/,false
Fundacja Dr Lucy,https://fundacjadrlucy.pl/,false
Schronisko w Gnieźnie,https://urbis.gniezno.pl/schronisko/,false
Schronisko w Krotoszynie,https://www.schroniskokrotoszyn.pl/,false
Schronisko w Koninie,https://www.schroniskokonin.pl/,false
Schronisko w Pile Miluszków,https://schronisko.pila.pl/,false
Schronisko Azorek w Obornikach,https://www.facebook.com/p/Schronisko-Azorek-w-Obornikach-100069403466317/,false
Schronisko w Jędrzejewie,https://www.sioz.pl/Shelter?ShelterID=c07b2b18-a6b4-46bc-9cb5-d33660a36a55,false
Schronisko w Ostrowie Wielkopolskim,https://schroniskoostrow.pl/,false
Schronisko we Wrześni,https://psi-jaciel.pl/,false
OTOZ Animals Schronisko w Sompolnie,https://otoz.pl/adopcje-zwierzat-sompolno/,false
Przystań dla Zwierząt,https://przystanekschronisko.org/,false
Schronisko w Lesznie Henrykowo,https://schronisko.leszno.pl/,false
Przytulisko w Wolsztynie,https://zwierzaki.wolsztyn.pl/,false
Fundacja Ochrony Zwierząt AnimaLove,https://www.animalove.eu/,false
Fundacja Sterczące Uszy,https://www.sterczaceuszy.pl/,false
Stowarzyszenie Przystanek PsyKoty,https://www.facebook.com/PrzystanekPsykoty/,false
Fundacja Pańska Łaska,https://www.fundacjapanskalaska.pl/,false
Ja Pacze Sercem,http://www.japaczesercem.pl/,false
Włochata Chata,https://wlochata-chata.pl/,false
